City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pul-e 'alam,33.9953,69.0227,294.56,27,0,2.02,AF,1718047082
1,tarawa,1.419,172.984,301.2,89,40,1.54,KI,1718047082
2,fort bragg,35.139,-79.006,303.61,41,0,3.6,US,1718047082
3,utrik,11.2278,169.8474,301.42,77,21,8.19,MH,1718047082
4,albany,42.6001,-73.9662,292.55,67,100,0.89,US,1718047082
5,tucupita,9.0622,-62.051,302.73,72,71,3.31,VE,1718047082
6,tiksi,71.6872,128.8694,274.53,88,20,3.12,RU,1718047082
7,iskateley,67.6803,53.1512,276.49,88,1,3.58,RU,1718047082
8,papatowai,-46.5619,169.4708,279.09,79,54,7.91,NZ,1718047083
9,zhoukou,33.6333,114.6333,298.91,52,100,2.85,CN,1718047083
10,west island,-12.1568,96.8225,299.14,89,100,8.75,CC,1718047083
11,olonkinbyen,70.9221,-8.7187,271.83,93,99,6.97,SJ,1718047083
12,grytviken,-54.2811,-36.5092,264.81,82,15,4.2,GS,1718047083
13,namibe,-15.1961,12.1522,292.84,89,28,4.18,AO,1718047083
14,al kharijah,25.4514,30.5464,304.49,15,0,3.6,EG,1718047083
15,mathba,22.2855,89.9629,301.94,86,8,5.07,BD,1718047083
16,zhosaly,45.4878,64.0781,301.64,25,0,5.3,KZ,1718047083
17,bilibino,68.0546,166.4372,283.01,65,100,1.02,RU,1718047083
18,port-aux-francais,-49.35,70.2167,277.39,95,100,21.84,TF,1718047083
19,bethel,41.3712,-73.414,296.75,56,100,2.57,US,1718047083
20,invercargill,-46.4,168.35,277.6,90,100,4.47,NZ,1718047083
21,kayangel,8.0823,134.7173,301.82,75,100,2.58,PW,1718047083
22,nantong,32.0303,120.8747,295.65,84,100,2.79,CN,1718047023
23,margaret river,-33.95,115.0667,289.2,60,100,6.76,AU,1718047083
24,kailua-kona,19.6406,-155.9956,301.13,76,40,4.63,US,1718046986
25,puerto natales,-51.7236,-72.4875,275.4,93,75,2.06,CL,1718046819
26,valparaiso,-33.0393,-71.6273,289.34,78,100,5.14,CL,1718047024
27,tura,25.5198,90.2201,297.98,94,11,2.24,IN,1718047083
28,walvis bay,-22.9575,14.5053,288.2,69,1,0.35,NA,1718047083
